footnote_code,footnote_category,footnote_text,footnote_definition
1,General,The number of cases/patients is too few to report.,This footnote is applied: • When the number of cases/patients does not meet the required minimum amount for public reporting; • When the number of cases/patients is too small to reliably tell how a facility is performing; and/or • To protect personal health information.
2,General,Data submitted were based on a sample of cases/patients.,This footnote indicates that a hospital chose to submit data for a random sample of its cases/patients while following specific rules for how to select the patients.
3,General,Results are based on a shorter time period than required.,"This footnote indicates that the facility results were based on data from less than the maximum possible time period generally used to collect data for a measure. View the Measure Dates dataset for more information. This footnote is applied: • When a facility elected not to submit data for a measure for one or more, but not all possible quarters; • When there was no data to submit for a measure for one or more, but not all possible quarters; and/or • When a facility did not successfully submit data for a measure for one or more, but not all possible quarters."
4,General,Data suppressed by CMS for one or more quarters.,"The results for these measures were excluded for various reasons, such as data inaccuracies."
5,General,Results are not available for this reporting period.,This footnote is applied: • When a facility elected not to submit data for the entire reporting period; or • When a facility had no claims data for a particular measure; or • When a facility elected to suppress a measure from being publicly reported.
6,General,"Fewer than 100 patients completed the CAHPS survey. Use these scores with caution, as the number of surveys may be too low to reliably assess facility performance.",This footnote is applied when the number of completed surveys the facility or its vendor provided to CMS is less than 100.
7,General,No cases met the criteria for this measure.,This footnote is applied when a hospital did not have any cases meet the inclusion criteria for a measure.
8,General,The lower limit of the confidence interval cannot be calculated if the number of observed infections equals zero.,None
9,General,No data are available from the state/territory for this reporting period.,This footnote is applied when: • Too few facilities in a state/territory had data available or • No data was reported for this state/territory.
10,General,"Very few patients were eligible for the CAHPS survey. The scores shown reflect fewer than 50 completed surveys. Use these scores with caution, as the number of surveys may be too low to reliably assess facility performance.",This footnote is applied when the number of completed surveys the facility or its vendor provided to CMS is less than 50.
11,General,There were discrepancies in the data collection process.,This footnote is applied when there have been deviations from data collection protocols.
12,General,This measure does not apply to this hospital for this reporting period.,"This footnote is applied when: • There were zero device days or procedures for the entire reporting period, • The hospital does not have ICU locations. • The hospital is a new member of the registry or reporting program and didn’t have an opportunity to submit any cases; or • The hospital doesn't report this voluntary measure; or • Results for this VA hospital are combined with those from the VA administrative parent hospital that manages all points of service."
13,General,Results cannot be calculated for this reporting period.,This footnote is applied when: • The number of predicted infections is less than 1. • The number of observed MRSA or Clostridium difficile infections present on admission (community-onset prevalence) was above a pre-determined cut-point.
14,General,The results for this state are combined with nearby states to protect confidentiality.,This footnote is applied when a state has fewer than 10 hospitals in order to protect confidentiality. Results are combined as follows: (1) the District of Columbia and Delaware are combined; (2) Alaska and Washington are combined; (3) North Dakota and South Dakota are combined; and (4) New Hampshire and Vermont are combined. Hospitals located in Maryland and U.S. territories are excluded from the measure calculation.
