state_abbreviation,source_county_name,standardized_county_name
AK,KODIAK ISLAND BOROUGH,KODIAK ISLAND
AK,MATANUSKA-SUSITNA,Matanuska Susitna
AK,NORTH SLOPE BOROUH,North Slope
AK,NORTHWEST ARTIC BOROUGH,Northwest Arctic
AK,VALDEZ-CORDOVA,Valdez Cordova
AK,WRANGELL CITY AND BOROUGH,Wrangell
AS,EASTERN DISTRICT,Eastern
AZ,LAPAZ,La Paz
DC,THE DISTRICT,WASHINGTON DC
GA,MC DUFFIE,Mcduffie
GU,GUAM,Guam
IA,OBRIEN,Obrien
IL,MC DONOUGH,Mcdonough
IL,MC HENRY,Mchenry
IL,MC LEAN,Mclean
IN,DE KALB,Dekalb
KY,MC CRACKEN,Mccracken
LA,E. BATON ROUGE,East Baton Rouge
LA,JEFFRSON DAVIS,Jefferson Davis
LA,LASALLE,La Salle
LA,ST. JOHN BAPTIST,Saint John The Baptist
MN,LAKE OF  WOODS,Lake Of The Woods
MN,MC LEOD,Mcleod
MN,YELLOW MEDCINE,Yellow Medicine
MP,SAIPAN,Saipan
NC,MC DOWELL,Mcdowell
NE,SCOTT BLUFF,Scotts Bluff
PA,MC KEAN,Mckean
PR,AGUADILLA,Aguadilla
PR,AIBONITO,Aibonito
PR,ARECIBO,Arecibo
PR,BAYAMON,Bayamon
PR,CABO ROJO,Cabo Rojo
PR,CAGUAS,Caguas
PR,CAROLINA,Carolina
PR,CAYEY,Cayey
PR,CIDRA,Cidra
PR,DORADO,Dorado
PR,FAJARDO,Fajardo
PR,GUAYANILLA,Guayanilla
PR,GUAYNABO,Guaynabo
PR,HUMACAO,Humacao
PR,LARES,Lares
PR,MANATI,Manati
PR,MAYAGUEZ,Mayaguez
PR,MOCA,Moca
PR,PONCE,Ponce
PR,SAN GERMAN,San German
PR,SAN JUAN,San Juan
PR,UTUADO,Utuado
PR,VEGA BAJA,Vega Baja
PR,YAUCO,Yauco
SD,MC PHERSON,Mcpherson
SD,OGLALA LAKOTA COUNTY,SHANNON
TN,MC MINN,Mcminn
TX,MC CULLOCH,Mcculloch
TX,MC LENNAN,Mclennan
VI,SAINT CROIX ISLAND,Saint Croix
VI,SAINT THOMAS ISLAND,Saint Thomas
WV,MC DOWELL,Mcdowell
